file_path,model_name,loss_mode,weighted,model_filename,epoch,lr,patience,train_loss,val_loss,train_acc,val_acc,train_micro,val_micro,train_macro,val_macro,train_weighted,val_weighted,train_f1_C0,train_f1_C1,train_f1_C2,train_f1_C3,train_f1_C4,val_f1_C0,val_f1_C1,val_f1_C2,val_f1_C3,val_f1_C4,train_time,val_time,train_memory,val_memory,train_CE,val_CE,train_dice,val_dice
/home/jonathan/UrbanizedAreasSegmentation/experimental_results/UNetSmall-256-type-dist-CE.csv,UNetSmall-256-type-dist-CE,CE,False,/home/jonathan/UrbanizedAreasSegmentation/models/UNetSmall-256-type-dist-CE.pth,0,0.0011497569953977363,0,0.9911337727803001,0.985022572595246,tensor(0.9686),tensor(0.9650),0.9216125119957012,0.9125984659000319,0.44580888748168945,0.3605955243110657,0.9161973595619202,0.9242201447486877,0.9608430862426758,0.00018732939497567713,0.48375067114830017,0.007506828289479017,0.7767565846443176,0.9673969745635986,0.0,0.052299197763204575,0.0,0.7832814455032349,354.39349269866943,5.096772909164429,3197.20 MB,1040.25 MB,0.9911337727803001,0.985022572595246,0.8533299321729702,0.8699012376824203
/home/jonathan/UrbanizedAreasSegmentation/experimental_results/UNetSmall-256-type-dist-CE.csv,UNetSmall-256-type-dist-CE,CE,False,/home/jonathan/UrbanizedAreasSegmentation/models/UNetSmall-256-type-dist-CE.pth,1,0.0011497569953977363,0,0.9520099816922679,0.9567595165603014,tensor(0.9807),tensor(0.9781),0.9518278458606984,0.9451891217912947,0.5182183980941772,0.3778761923313141,0.9473029971122742,0.9483780860900879,0.9758161306381226,0.0,0.7470459938049316,0.0,0.8682300448417664,0.9800187945365906,0.0,0.04812983050942421,0.0,0.8612323999404907,362.43461871147156,4.380388975143433,3219.72 MB,1062.77 MB,0.9520099816922679,0.9567595165603014,0.8476945418410292,0.8677204146677134
/home/jonathan/UrbanizedAreasSegmentation/experimental_results/UNetSmall-256-type-dist-CE.csv,UNetSmall-256-type-dist-CE,CE,False,/home/jonathan/UrbanizedAreasSegmentation/models/UNetSmall-256-type-dist-CE.pth,2,0.0011497569953977363,0,0.9414422555815483,0.9558759516599227,tensor(0.9847),tensor(0.9774),0.9616289320242705,0.9436151621293049,0.5340458154678345,0.37833866477012634,0.957173228263855,0.947396993637085,0.9811083674430847,0.0,0.785919725894928,0.0,0.9032011032104492,0.9785836935043335,0.0,0.05089947581291199,0.0,0.8622101545333862,355.7261838912964,4.811845302581787,3219.47 MB,1062.52 MB,0.9414422555815483,0.9558759516599227,0.8459623536493475,0.8670452577727181
/home/jonathan/UrbanizedAreasSegmentation/experimental_results/UNetSmall-256-type-dist-CE.csv,UNetSmall-256-type-dist-CE,CE,False,/home/jonathan/UrbanizedAreasSegmentation/models/UNetSmall-256-type-dist-CE.pth,3,0.0011497569953977363,0,0.9373996475093329,0.9999078653296646,tensor(0.9862),tensor(0.9586),0.9656164535638174,0.8963944415656888,0.5416615605354309,0.32945409417152405,0.9611684083938599,0.8972820043563843,0.9833290576934814,0.0,0.8099431395530701,0.0,0.9150355458259583,0.9626547694206238,0.0,0.030167169868946075,0.0,0.6544484496116638,366.7975471019745,4.611578702926636,3219.72 MB,1062.77 MB,0.9373996475093329,0.9999078653296646,0.8451966575231415,0.8732905429236743
/home/jonathan/UrbanizedAreasSegmentation/experimental_results/UNetSmall-256-type-dist-CE.csv,UNetSmall-256-type-dist-CE,CE,False,/home/jonathan/UrbanizedAreasSegmentation/models/UNetSmall-256-type-dist-CE.pth,4,0.0011497569953977363,1,0.9376377979158634,0.943781790198112,tensor(0.9861),tensor(0.9831),0.9652208982009424,0.9576787831831951,0.5411734580993652,0.3866639733314514,0.9607811570167542,0.955089271068573,0.9830588698387146,0.0,0.808811604976654,0.0,0.913996696472168,0.9792840480804443,0.0,0.05199897289276123,0.0,0.9020369052886963,356.59170031547546,4.222792863845825,3219.72 MB,1062.77 MB,0.9376377979158634,0.943781790198112,0.845246566663568,0.8666170198090223
/home/jonathan/UrbanizedAreasSegmentation/experimental_results/UNetSmall-256-type-dist-CE.csv,UNetSmall-256-type-dist-CE,CE,False,/home/jonathan/UrbanizedAreasSegmentation/models/UNetSmall-256-type-dist-CE.pth,5,0.0011497569953977363,0,0.9339060387867277,0.9525006861102824,tensor(0.9876),tensor(0.9793),0.9690450458433778,0.9482061892139668,0.5490719079971313,0.3824179768562317,0.9646146297454834,0.9477282166481018,0.9849782586097717,0.0,0.8340986371040344,0.0,0.9262825846672058,0.9769670367240906,0.0,0.06391904503107071,0.0,0.8712037205696106,348.04121446609497,4.3573009967803955,3219.47 MB,1062.52 MB,0.9339060387867277,0.9525006861102824,0.8444390309941324,0.8678655103761322
/home/jonathan/UrbanizedAreasSegmentation/experimental_results/UNetSmall-256-type-dist-CE.csv,UNetSmall-256-type-dist-CE,CE,False,/home/jonathan/UrbanizedAreasSegmentation/models/UNetSmall-256-type-dist-CE.pth,6,0.0011497569953977363,1,0.9315860444213303,0.9506364861313178,tensor(0.9886),tensor(0.9801),0.971408243193167,0.9502426458864796,0.552979052066803,0.3902338445186615,0.9669946432113647,0.9499349594116211,0.986275315284729,0.0,0.8442021012306213,0.0,0.9344178438186646,0.9763874411582947,0.0,0.08896876871585846,0.0,0.8858129978179932,348.5617859363556,4.370025873184204,3219.47 MB,1062.52 MB,0.9315860444213303,0.9506364861313178,0.843864953141815,0.8669705410392917
/home/jonathan/UrbanizedAreasSegmentation/experimental_results/UNetSmall-256-type-dist-CE.csv,UNetSmall-256-type-dist-CE,CE,False,/home/jonathan/UrbanizedAreasSegmentation/models/UNetSmall-256-type-dist-CE.pth,7,0.0011497569953977363,2,0.9310634544109079,0.9483580487115043,tensor(0.9888),tensor(0.9803),0.971971965576824,0.9508204246053891,0.5538153648376465,0.38691166043281555,0.9675893187522888,0.9496825933456421,0.9866600632667542,0.0,0.8462745547294617,0.0,0.936142086982727,0.975807249546051,0.0,0.07146994024515152,0.0,0.8872811198234558,346.50794649124146,4.685279846191406,3219.47 MB,1062.52 MB,0.9310634544109079,0.9483580487115043,0.8436637949613138,0.8664023100113382
/home/jonathan/UrbanizedAreasSegmentation/experimental_results/UNetSmall-256-type-dist-CE.csv,UNetSmall-256-type-dist-CE,CE,False,/home/jonathan/UrbanizedAreasSegmentation/models/UNetSmall-256-type-dist-CE.pth,8,0.00017550097356605168,0,0.932034413485546,0.9486644550245635,tensor(0.9884),tensor(0.9807),0.9711139010091846,0.9518593301578444,0.5524108409881592,0.3855312466621399,0.9666795134544373,0.9516111016273499,0.986131489276886,0.0,0.8427427411079407,0.0,0.9331800937652588,0.9788804650306702,0.0,0.0645391196012497,0.0,0.8842366337776184,375.1036422252655,7.482731580734253,3218.59 MB,1061.64 MB,0.932034413485546,0.9486644550245635,0.844090643312909,0.8669395325135212
/home/jonathan/UrbanizedAreasSegmentation/experimental_results/UNetSmall-256-type-dist-CE.csv,UNetSmall-256-type-dist-CE,CE,False,/home/jonathan/UrbanizedAreasSegmentation/models/UNetSmall-256-type-dist-CE.pth,9,0.00017550097356605168,1,0.9310136725905018,0.9465176056842415,tensor(0.9889),tensor(0.9817),0.9721379239450885,0.9543361741669324,0.5542579889297485,0.3882581889629364,0.9677190184593201,0.9533225893974304,0.9867293834686279,0.0,0.8482818603515625,0.0,0.9362788200378418,0.9793986082077026,0.0,0.07051865011453629,0.0,0.8913738131523132,355.9325714111328,6.181763172149658,3218.59 MB,1061.64 MB,0.9310136725905018,0.9465176056842415,0.8438074485699933,0.8668071576527187
