file_path,model_name,loss_mode,weighted,model_filename,epoch,lr,patience,train_loss,val_loss,train_acc,val_acc,train_micro,val_micro,train_macro,val_macro,train_weighted,val_weighted,train_f1_C0,train_f1_C1,train_f1_C2,train_f1_C3,train_f1_C4,val_f1_C0,val_f1_C1,val_f1_C2,val_f1_C3,val_f1_C4,train_time,val_time,train_memory,val_memory,train_CE,val_CE,train_dice,val_dice
/home/jonathan/UrbanizedAreasSegmentation/experimental_results/UNetResNet34-224-type-groupsW.csv,UNetResNet34-224-type-groupsW,groups,True,/home/jonathan/UrbanizedAreasSegmentation/models/UNetResNet34-224-type-groupsW.pth,0,0.0014849682622544637,0,1.0242883382938328,2.599787529025759,tensor(0.9250),tensor(0.7915),0.8124992594098345,0.47885140733190595,0.509355902671814,0.20311462879180908,0.8624579906463623,0.595586359500885,0.8909491896629333,0.2033042013645172,0.07413576543331146,0.5169618725776672,0.8614288568496704,0.6251717209815979,0.0,0.1669790893793106,0.05658398196101189,0.16683831810951233,546.7634193897247,9.927512168884277,2744.66 MB,1183.93 MB,0.5278491686564264,2.3819066158362796,0.7525112295766353,0.8678277220044818
/home/jonathan/UrbanizedAreasSegmentation/experimental_results/UNetResNet34-224-type-groupsW.csv,UNetResNet34-224-type-groupsW,groups,True,/home/jonathan/UrbanizedAreasSegmentation/models/UNetResNet34-224-type-groupsW.pth,1,0.0014849682622544637,0,0.7615544889577186,1.860887199640274,tensor(0.9620),tensor(0.9785),0.9049959816452616,0.9461468002144238,0.6318286657333374,0.37215375900268555,0.9243975877761841,0.9448283910751343,0.94395512342453,0.35373127460479736,0.19242748618125916,0.7443889379501343,0.9246408939361572,0.9741092324256897,0.010006479918956757,0.23101939260959625,0.05158510059118271,0.5940486788749695,527.0438103675842,7.207957983016968,2884.32 MB,1363.40 MB,0.2488071967256876,1.5446501959647452,0.7031358942566264,0.7814587120498929
/home/jonathan/UrbanizedAreasSegmentation/experimental_results/UNetResNet34-224-type-groupsW.csv,UNetResNet34-224-type-groupsW,groups,True,/home/jonathan/UrbanizedAreasSegmentation/models/UNetResNet34-224-type-groupsW.pth,2,0.0014849682622544637,0,0.723736785710981,1.263288106237139,tensor(0.9671),tensor(0.9811),0.917833675662957,0.9527149298118008,0.6590602993965149,0.47625866532325745,0.9330853819847107,0.9583398103713989,0.9506783485412598,0.3916807472705841,0.23096074163913727,0.7887827157974243,0.9331989884376526,0.9774969816207886,0.20189008116722107,0.37807828187942505,0.06256844848394394,0.7612594962120056,533.0820236206055,7.511106252670288,2884.31 MB,1362.71 MB,0.2118644219695149,0.822423762508801,0.6928065395488326,0.7566863255841392
/home/jonathan/UrbanizedAreasSegmentation/experimental_results/UNetResNet34-224-type-groupsW.csv,UNetResNet34-224-type-groupsW,groups,True,/home/jonathan/UrbanizedAreasSegmentation/models/UNetResNet34-224-type-groupsW.pth,3,0.0014849682622544637,0,0.6802902028266151,1.6201298300709044,tensor(0.9725),tensor(0.9748),0.9313250514927642,0.9371162141901673,0.6923311948776245,0.4547494351863861,0.9427270293235779,0.9528900980949402,0.9588349461555481,0.44901028275489807,0.26613849401474,0.847488522529602,0.9401835799217224,0.9745511412620544,0.1424793154001236,0.401298463344574,0.045502547174692154,0.7099155783653259,520.825275182724,7.609186410903931,2886.37 MB,1362.52 MB,0.16892315107556963,1.2653713840991259,0.6814395844395645,0.7597908611808505
/home/jonathan/UrbanizedAreasSegmentation/experimental_results/UNetResNet34-224-type-groupsW.csv,UNetResNet34-224-type-groupsW,groups,True,/home/jonathan/UrbanizedAreasSegmentation/models/UNetResNet34-224-type-groupsW.pth,4,0.0014849682622544637,1,0.6498749291073252,5.018382413046701,tensor(0.9756),tensor(0.6394),0.9391078053469433,0.09852742015394116,0.7153542041778564,0.22038665413856506,0.9480379223823547,0.16173173487186432,0.9619488716125488,0.5025259852409363,0.2967257499694824,0.8687682747840881,0.9468020796775818,0.14163169264793396,0.00853132177144289,0.3626977205276489,0.0734357163310051,0.5156368613243103,520.9456942081451,7.718370676040649,2885.84 MB,1362.52 MB,0.1398242417741138,5.322171249559948,0.6725194023276074,0.9508066432816642
/home/jonathan/UrbanizedAreasSegmentation/experimental_results/UNetResNet34-224-type-groupsW.csv,UNetResNet34-224-type-groupsW,groups,True,/home/jonathan/UrbanizedAreasSegmentation/models/UNetResNet34-224-type-groupsW.pth,5,0.0014849682622544637,2,0.6361483149984377,1.7077048889228277,tensor(0.9782),tensor(0.9858),0.9455905683706285,0.9644900381233966,0.7392191290855408,0.4855387806892395,0.9521645903587341,0.9648295044898987,0.9656322598457336,0.5472285151481628,0.35695603489875793,0.8765432834625244,0.949735701084137,0.9850226640701294,0.21619239449501038,0.39735129475593567,0.08308668434619904,0.7460408210754395,533.568097114563,7.047753572463989,2885.84 MB,1362.52 MB,0.1284310723559389,1.3784030102459448,0.6667543053211071,0.7562280552727836
/home/jonathan/UrbanizedAreasSegmentation/experimental_results/UNetResNet34-224-type-groupsW.csv,UNetResNet34-224-type-groupsW,groups,True,/home/jonathan/UrbanizedAreasSegmentation/models/UNetResNet34-224-type-groupsW.pth,6,0.0014849682622544637,3,0.5888065111778537,2.13255435866969,tensor(0.9841),tensor(0.9865),0.9601566744791489,0.9662112178242562,0.7993208169937134,0.46726125478744507,0.9634122252464294,0.9634267687797546,0.9734722971916199,0.6369464993476868,0.5021688342094421,0.9227502942085266,0.9612662196159363,0.9842900633811951,0.13331031799316406,0.38174760341644287,0.09674569964408875,0.7402124404907227,529.2230517864227,7.41178297996521,2885.84 MB,1362.52 MB,0.08486727352428919,1.9036591066313642,0.651140851318961,0.7620337754487991
/home/jonathan/UrbanizedAreasSegmentation/experimental_results/UNetResNet34-224-type-groupsW.csv,UNetResNet34-224-type-groupsW,groups,True,/home/jonathan/UrbanizedAreasSegmentation/models/UNetResNet34-224-type-groupsW.pth,7,0.0003004966402698548,0,0.628264353064,1.734738528728485,tensor(0.9798),tensor(0.9851),0.9495405499064973,0.9627726474239249,0.7559199333190918,0.4988579750061035,0.9551131725311279,0.964287281036377,0.9684140682220459,0.5458300113677979,0.4225268065929413,0.8911398649215698,0.9516890645027161,0.9842642545700073,0.2496667504310608,0.42978769540786743,0.08847720175981522,0.7420942187309265,551.7047958374023,7.625051021575928,2989.55 MB,1468.72 MB,0.11725765906289917,1.4140963128634862,0.6680727661363078,0.7543268225022725
/home/jonathan/UrbanizedAreasSegmentation/experimental_results/UNetResNet34-224-type-groupsW.csv,UNetResNet34-224-type-groupsW,groups,True,/home/jonathan/UrbanizedAreasSegmentation/models/UNetResNet34-224-type-groupsW.pth,8,0.0003004966402698548,1,0.5963284379522532,1.810080377118928,tensor(0.9834),tensor(0.9792),0.9586067107514096,0.9480926200570973,0.7961083650588989,0.4913701117038727,0.9619646072387695,0.9572914242744446,0.9729048609733582,0.6314528584480286,0.4954226016998291,0.9225923418998718,0.9581693410873413,0.9777609705924988,0.1845903992652893,0.4572403132915497,0.11230851709842682,0.7249503135681152,543.8552122116089,7.910475492477417,2989.54 MB,1437.09 MB,0.08948482201023278,1.508036251046828,0.6559257104691307,0.7545641745839801
/home/jonathan/UrbanizedAreasSegmentation/experimental_results/UNetResNet34-224-type-groupsW.csv,UNetResNet34-224-type-groupsW,groups,True,/home/jonathan/UrbanizedAreasSegmentation/models/UNetResNet34-224-type-groupsW.pth,9,0.0003004966402698548,2,0.5739672417958467,2.053362265229225,tensor(0.9860),tensor(0.9599),0.9649309835787064,0.8997578166844908,0.8294097185134888,0.430891752243042,0.9670159220695496,0.9227077960968018,0.9763211607933044,0.6983808279037476,0.5705338716506958,0.9388376474380493,0.9629752039909363,0.947931170463562,0.07883571833372116,0.4358377456665039,0.08557967096567154,0.606274425983429,529.350996017456,7.7062904834747314,2882.21 MB,1360.82 MB,0.07134969653503219,1.7976861149072647,0.6461093421175358,0.7690166767154422
/home/jonathan/UrbanizedAreasSegmentation/experimental_results/UNetResNet34-224-type-groupsW.csv,UNetResNet34-224-type-groupsW,groups,True,/home/jonathan/UrbanizedAreasSegmentation/models/UNetResNet34-224-type-groupsW.pth,10,0.0003004966402698548,3,0.5625377229810676,2.2969524498496736,tensor(0.9873),tensor(0.9861),0.9681253993274748,0.9651538653068936,0.8452617526054382,0.5033180117607117,0.9697251915931702,0.965797483921051,0.9780732989311218,0.7399300336837769,0.5952918529510498,0.9473285675048828,0.9656851291656494,0.9847471714019775,0.25364938378334045,0.40389910340309143,0.10837879776954651,0.7659155130386353,606.0459108352661,7.608410358428955,2882.21 MB,1360.82 MB,0.0628094568651037,2.118592267456864,0.6403626834938597,0.7525982686451503
/home/jonathan/UrbanizedAreasSegmentation/experimental_results/UNetResNet34-224-type-groupsW.csv,UNetResNet34-224-type-groupsW,groups,True,/home/jonathan/UrbanizedAreasSegmentation/models/UNetResNet34-224-type-groupsW.pth,11,4.1753872772922874e-05,0,0.6510500437466314,1.1703348053353173,tensor(0.9769),tensor(0.9770),0.9422130169144824,0.9425695085819141,0.7268776893615723,0.48387080430984497,0.9500097632408142,0.955013632774353,0.9645677804946899,0.49299532175064087,0.3626459836959839,0.8665418028831482,0.9476373195648193,0.9751977920532227,0.17241604626178741,0.4446815848350525,0.09669540822505951,0.7303630113601685,523.15660405159,7.283334255218506,2987.86 MB,1467.72 MB,0.1380134080065478,0.7075482569634914,0.6757991300208204,0.7553702252251762
