Model,Epoch,Loss method,Weighted loss,Learning rate,Batch size,Train Loss,Val Loss,Val Accuracy,Val Micro F1,Val Macro F1,Val Weighted F1,Val C0,Val C1,Val C2,Val C3,Val C4,Status,Model path
UNetSmall-64-type-CE-dice,0,CE-dice,True,0.0001,20,0.710,0.742,97.24,93.10,41.99,94.54,96.78,13.29,22.76,5.73,71.42, current best val loss.,/home/jonathan/UrbanizedAreasSegmentation/models/UNetSmall-64-type-CE-dice.pth
UNetSmall-64-type-CE-dice,1,CE-dice,True,0.0001,20,0.566,0.644,96.67,91.66,42.94,93.83,96.21,18.01,23.35,9.47,67.68, current best val loss.,/home/jonathan/UrbanizedAreasSegmentation/models/UNetSmall-64-type-CE-dice.pth
UNetSmall-64-type-CE-dice,2,CE-dice,True,0.0001,20,0.518,0.730,96.91,92.28,38.43,93.95,97.30,17.82,17.96,8.33,50.73,,/home/jonathan/UrbanizedAreasSegmentation/models/UNetSmall-64-type-CE-dice.pth
UNetSmall-64-type-CE-dice,3,CE-dice,True,0.0001,20,0.494,0.708,96.09,90.22,41.50,93.15,95.45,15.36,19.94,7.92,68.84,,/home/jonathan/UrbanizedAreasSegmentation/models/UNetSmall-64-type-CE-dice.pth
UNetSmall-64-type-CE-dice,4,CE-dice,True,0.0001,20,0.473,0.848,97.44,93.61,44.52,94.91,97.09,20.36,30.49,3.16,71.49,,/home/jonathan/UrbanizedAreasSegmentation/models/UNetSmall-64-type-CE-dice.pth
