Model,Epoch,Loss method,Weighted loss,Learning rate,Batch size,Train Loss,Val Loss,Val Accuracy,Val Micro F1,Val Macro F1,Val Weighted F1,Val C0,Val C1,Val C2,Val C3,Val C4,Status,Model path
UNetSmall-64-type-diceW,0,dice,True,0.0001,20,0.782,0.790,98.33,95.82,40.80,95.64,98.09,24.20,0.00,10.29,71.41, current best val loss.,/home/jonathan/UrbanizedAreasSegmentation/models/UNetSmall-64-type-diceW.pth
UNetSmall-64-type-diceW,1,dice,True,0.0001,20,0.750,0.791,98.38,95.96,37.35,95.79,98.37,16.59,0.00,2.03,69.73,,/home/jonathan/UrbanizedAreasSegmentation/models/UNetSmall-64-type-diceW.pth
UNetSmall-64-type-diceW,2,dice,True,0.0001,20,0.747,0.788,98.38,95.94,40.25,95.89,98.22,25.07,0.00,3.98,73.98, current best val loss.,/home/jonathan/UrbanizedAreasSegmentation/models/UNetSmall-64-type-diceW.pth
UNetSmall-64-type-diceW,3,dice,True,0.0001,20,0.475,0.080,97.80,94.51,28.34,93.39,97.39,0.00,0.00,2.13,42.16, current best val loss.,/home/jonathan/UrbanizedAreasSegmentation/models/UNetSmall-64-type-diceW.pth
UNetSmall-64-type-diceW,4,dice,True,0.0001,20,0.178,0.046,98.09,95.22,29.47,94.01,97.64,0.00,0.00,0.00,49.73, current best val loss.,/home/jonathan/UrbanizedAreasSegmentation/models/UNetSmall-64-type-diceW.pth
UNetSmall-64-type-diceW,5,dice,True,0.0001,20,0.112,0.043,98.61,96.53,34.60,95.96,98.36,0.00,0.00,0.00,74.62, current best val loss.,/home/jonathan/UrbanizedAreasSegmentation/models/UNetSmall-64-type-diceW.pth
UNetSmall-64-type-diceW,6,dice,True,0.0001,20,0.107,0.040,98.57,96.42,33.59,95.63,98.28,0.00,0.00,0.00,69.66, current best val loss.,/home/jonathan/UrbanizedAreasSegmentation/models/UNetSmall-64-type-diceW.pth
UNetSmall-64-type-diceW,7,dice,True,0.0001,20,0.106,0.039,98.63,96.58,34.42,95.91,98.36,0.00,0.00,0.00,73.75, current best val loss.,/home/jonathan/UrbanizedAreasSegmentation/models/UNetSmall-64-type-diceW.pth
UNetSmall-64-type-diceW,8,dice,True,0.0001,20,0.106,0.039,98.69,96.72,34.98,96.16,98.48,0.00,0.00,0.00,76.41, current best val loss.,/home/jonathan/UrbanizedAreasSegmentation/models/UNetSmall-64-type-diceW.pth
UNetSmall-64-type-diceW,9,dice,True,0.0001,20,0.105,0.038,98.68,96.70,34.75,96.08,98.45,0.00,0.00,0.00,75.30, current best val loss.,/home/jonathan/UrbanizedAreasSegmentation/models/UNetSmall-64-type-diceW.pth
UNetSmall-64-type-diceW,10,dice,True,0.0001,20,0.107,0.038,98.61,96.52,34.36,95.87,98.33,0.00,0.00,0.00,73.45, current best val loss.,/home/jonathan/UrbanizedAreasSegmentation/models/UNetSmall-64-type-diceW.pth
UNetSmall-64-type-diceW,11,dice,True,0.0001,20,0.106,0.043,98.43,96.07,32.97,95.36,98.16,0.00,0.00,0.00,66.69,,/home/jonathan/UrbanizedAreasSegmentation/models/UNetSmall-64-type-diceW.pth
UNetSmall-64-type-diceW,12,dice,True,0.0001,20,0.106,0.047,98.29,95.73,32.78,95.12,97.94,0.00,0.00,0.00,65.93,,/home/jonathan/UrbanizedAreasSegmentation/models/UNetSmall-64-type-diceW.pth
UNetSmall-64-type-diceW,13,dice,True,0.0001,20,0.102,0.039,98.69,96.72,34.98,96.13,98.45,0.00,0.00,0.00,76.45,,/home/jonathan/UrbanizedAreasSegmentation/models/UNetSmall-64-type-diceW.pth
